antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift
SQL Server,Data Warehouse,63,147,32,4.5,0.508,2.457
Big Data,Data Warehouse,130,147,66,9.28,0.508,2.456
Data Warehouse,Big Data,147,130,66,9.28,0.449,2.456
AI + LLM,Machine Learning,90,232,72,10.13,0.8,2.452
Data Modeling + Reporting,Power BI,53,197,36,5.06,0.679,2.451
Azure + Python,LLM,64,118,26,3.66,0.406,2.448
Machine Learning + Reporting,Big Data,74,130,33,4.64,0.446,2.439
Machine Learning + Reporting,Statistics,74,134,34,4.78,0.459,2.438
ETL + SQL,Big Data,110,130,49,6.89,0.445,2.436
Data Warehouse + SQL,Data Quality,121,123,51,7.17,0.421,2.436
Data Quality,ETL,123,133,56,7.88,0.455,2.434
ETL,Data Quality,133,123,56,7.88,0.421,2.434
Docker,AWS,79,122,33,4.64,0.418,2.434
SQL Server,Big Data,63,130,28,3.94,0.444,2.431
Data Lake + Data Warehouse,AWS,60,122,25,3.52,0.417,2.428
Data Analysis + Power BI,Statistics,140,134,64,9.0,0.457,2.426
Data Pipeline,Data Quality,93,123,39,5.49,0.419,2.424
LLM + Python,Machine Learning,95,232,75,10.55,0.789,2.419
Kafka,Data Warehouse,52,147,26,3.66,0.5,2.418
Machine Learning + Python,AI,168,158,90,12.66,0.536,2.411
Big Data + Statistics,Machine Learning,37,232,29,4.08,0.784,2.402
Python + Reporting,Tableau,125,109,46,6.47,0.368,2.4
Reporting + SQL,Tableau,188,109,69,9.7,0.367,2.394
Spark,Data Warehouse,83,147,41,5.77,0.494,2.389
Data Analysis + Data Warehouse,Tableau,71,109,26,3.66,0.366,2.389
Data Analysis + Data Warehouse,Big Data,71,130,31,4.36,0.437,2.388
ELT + SQL,AWS,61,122,25,3.52,0.41,2.388
Big Data,ETL,130,133,58,8.16,0.446,2.385
ETL,Big Data,133,130,58,8.16,0.436,2.385
AI + Azure,Machine Learning,36,232,28,3.94,0.778,2.384
Data Analysis + Reporting,Tableau,178,109,65,9.14,0.365,2.382
ETL + Python,AWS,86,122,35,4.92,0.407,2.372
AI + AWS,Machine Learning,44,232,34,4.78,0.773,2.368
Docker + Python,AWS,64,122,26,3.66,0.406,2.368
Data Engineering,AWS,101,122,41,5.77,0.406,2.366
Big Data + Python,Data Warehouse,84,147,41,5.77,0.488,2.361
Data Analysis + Data Warehouse,Data Quality,71,123,29,4.08,0.408,2.361
Data Analysis + SQL,Statistics,185,134,82,11.53,0.443,2.352
Data Engineering,Data Warehouse,101,147,49,6.89,0.485,2.347
SQL + Statistics,Power BI,100,197,65,9.14,0.65,2.346
Data Analysis + Machine Learning,Big Data,84,130,36,5.06,0.429,2.344
Data Pipeline + Python,Data Quality,79,123,32,4.5,0.405,2.341
Excel + Reporting,Tableau,81,109,29,4.08,0.358,2.335
Big Data + Machine Learning,Statistics,66,134,29,4.08,0.439,2.331
Business Intelligence,Power BI,59,197,38,5.34,0.644,2.325
Data Governance,Data Warehouse,77,147,37,5.2,0.481,2.324
Machine Learning + SQL,Big Data,114,130,48,6.75,0.421,2.303
Oracle,ETL,86,133,37,5.2,0.43,2.3
Python + Spark,Data Warehouse,61,147,29,4.08,0.475,2.299
Spark,Data Quality,83,123,33,4.64,0.398,2.298
Data Engineering + SQL,AWS,71,122,28,3.94,0.394,2.298
Python + Statistics,Power BI,85,197,54,7.59,0.635,2.293
Python + Reporting,Statistics,125,134,54,7.59,0.432,2.292
Data Pipeline + SQL,Big Data,74,130,31,4.36,0.419,2.291
Oracle,Big Data,86,130,36,5.06,0.419,2.289
Data Pipeline + SQL,Data Warehouse,74,147,35,4.92,0.473,2.288
Data Pipeline + Python,AWS,79,122,31,4.36,0.392,2.287
Reporting + SQL,Power BI,188,197,119,16.74,0.633,2.285
Data Quality,Data Warehouse,123,147,58,8.16,0.472,2.281
Data Warehouse,Data Quality,147,123,58,8.16,0.395,2.281
Data Engineering + Python,Data Warehouse,68,147,32,4.5,0.471,2.276
AI + SQL,Machine Learning,58,232,43,6.05,0.741,2.272
PostgreSQL,ETL,71,133,30,4.22,0.423,2.259
Azure + Python,ETL,64,133,27,3.8,0.422,2.255
Git + Python,AI,62,158,31,4.36,0.5,2.25
GCP + Python,LLM,67,118,25,3.52,0.373,2.248
AWS + SQL,Data Quality,75,123,29,4.08,0.387,2.235
Data Quality + Reporting,Big Data,71,130,29,4.08,0.408,2.234
Data Analysis + Python,Power BI,131,197,81,11.39,0.618,2.232
Excel + SQL,Statistics,69,134,29,4.08,0.42,2.23
English + LLM,Machine Learning,55,232,40,5.63,0.727,2.229
Excel + Reporting,Power BI,81,197,50,7.03,0.617,2.228
Big Data + Python,ETL,84,133,35,4.92,0.417,2.227
ETL + Python,Big Data,86,130,35,4.92,0.407,2.226
Git,AI,77,158,38,5.34,0.494,2.221
Power BI + SQL,Statistics,156,134,65,9.14,0.417,2.211
LLM,Machine Learning,118,232,85,11.95,0.72,2.208
Machine Learning,LLM,232,118,85,11.95,0.366,2.208
Data Analysis + SQL,Power BI,185,197,113,15.89,0.611,2.204
AWS + SQL,Data Warehouse,75,147,34,4.78,0.453,2.193
AI,Machine Learning,158,232,113,15.89,0.715,2.192
Machine Learning,AI,232,158,113,15.89,0.487,2.192
Machine Learning + SQL,Statistics,114,134,47,6.61,0.412,2.188
AWS + LLM,Machine Learning,38,232,27,3.8,0.711,2.178
AWS + English,AI,56,158,27,3.8,0.482,2.17
Power BI + Reporting,Statistics,140,134,57,8.02,0.407,2.16
Data Analysis + Statistics,Power BI,107,197,64,9.0,0.598,2.159
Excel + Tableau,Reporting,32,299,29,4.08,0.906,2.155
GCP + Python,ETL,67,133,27,3.8,0.403,2.154
Reporting + SQL Server,Power BI,42,197,25,3.52,0.595,2.148
Data Lake,Data Quality,70,123,26,3.66,0.371,2.147
Data Analysis + ETL,Power BI,59,197,35,4.92,0.593,2.141
Python + Reporting,Power BI,125,197,74,10.41,0.592,2.137
Data Analysis + Data Warehouse,Power BI,71,197,42,5.91,0.592,2.135
Data Governance,Big Data,77,130,30,4.22,0.39,2.131
English + Machine Learning,AWS,93,122,34,4.78,0.366,2.131
LLM + PyTorch,Python,32,334,32,4.5,1.0,2.129
Big Data + Java,Python,31,334,31,4.36,1.0,2.129
LLM + TensorFlow,Python,31,334,31,4.36,1.0,2.129
Machine Learning + scikit-learn,Python,31,334,31,4.36,1.0,2.129
PyTorch + scikit-learn,Python,28,334,28,3.94,1.0,2.129
English + PyTorch,Python,28,334,28,3.94,1.0,2.129
English + TensorFlow,Python,26,334,26,3.66,1.0,2.129
Data Analysis + Reporting,Power BI,178,197,105,14.77,0.59,2.129
AWS + Python,ETL,88,133,35,4.92,0.398,2.126
AWS + Python,LLM,88,118,31,4.36,0.352,2.123
Git,AWS,77,122,28,3.94,0.364,2.119
Data Pipeline,Big Data,93,130,36,5.06,0.387,2.117
AI + Docker,Machine Learning,48,232,33,4.64,0.688,2.107
Data Warehouse + Python,AWS,86,122,31,4.36,0.36,2.101
PyTorch,Python,61,334,60,8.44,0.984,2.094
PyTorch + TensorFlow,Python,58,334,57,8.02,0.983,2.092
Data Quality,Big Data,123,130,47,6.61,0.382,2.09
Big Data,Data Quality,130,123,47,6.61,0.362,2.09
Machine Learning + PyTorch,Python,53,334,52,7.31,0.981,2.089
Data Modeling + Power BI,Reporting,41,299,36,5.06,0.878,2.088
Machine Learning + TensorFlow,Python,50,334,49,6.89,0.98,2.086
Data Governance,ETL,77,133,30,4.22,0.39,2.083
Looker + SQL,Reporting,32,299,28,3.94,0.875,2.081
Data Visualization + Statistics,Data Analysis,47,320,44,6.19,0.936,2.08
AI + PyTorch,Python,43,334,42,5.91,0.977,2.079
AI + TensorFlow,Python,40,334,39,5.49,0.975,2.076
Deep Learning + PyTorch,Python,38,334,37,5.2,0.974,2.073
AI + English,Machine Learning,77,232,52,7.31,0.675,2.07
Deep Learning + TensorFlow,Python,35,334,34,4.78,0.971,2.068
Data Pipeline,AWS,93,122,33,4.64,0.355,2.068
scikit-learn,Python,34,334,33,4.64,0.971,2.066
GCP,ETL,83,133,32,4.5,0.386,2.061
Docker + Python,Machine Learning,64,232,43,6.05,0.672,2.059
TensorFlow,Python,59,334,57,8.02,0.966,2.057
TensorFlow + scikit-learn,Python,29,334,28,3.94,0.966,2.055
Java + Machine Learning,Python,28,334,27,3.8,0.964,2.053
Deep Learning + English,Python,28,334,27,3.8,0.964,2.053
Python + Reporting,ETL,125,133,48,6.75,0.384,2.053
Big Data + Machine Learning,Data Warehouse,66,147,28,3.94,0.424,2.052
Python + Reporting,Data Warehouse,125,147,53,7.45,0.424,2.051
Computer Vision + PyTorch,Python,27,334,26,3.66,0.963,2.05
Computer Vision + TensorFlow,Python,27,334,26,3.66,0.963,2.05
Power BI + SQL Server,Reporting,29,299,25,3.52,0.862,2.05
Looker + Tableau,Reporting,29,299,25,3.52,0.862,2.05
Looker + Power BI,Reporting,36,299,31,4.36,0.861,2.048
GCP + LLM,Python,26,334,25,3.52,0.962,2.047
AI + English,AWS,77,122,27,3.8,0.351,2.044
Azure + Python,AI,64,158,29,4.08,0.453,2.039
Data Warehouse + Tableau,Reporting,35,299,30,4.22,0.857,2.038
Machine Learning + Reporting,Data Quality,74,123,26,3.66,0.351,2.031
Data Analysis + Excel,Power BI,89,197,50,7.03,0.562,2.028
Data Pipeline,Data Warehouse,93,147,39,5.49,0.419,2.028
AWS + GCP,ETL,74,133,28,3.94,0.378,2.023
Statistics,Power BI,134,197,75,10.55,0.56,2.02
Data Pipeline + Python,Data Warehouse,79,147,33,4.64,0.418,2.02
Power BI,Statistics,197,134,75,10.55,0.381,2.02
AWS,ETL,122,133,46,6.47,0.377,2.016
Data Warehouse + Reporting,Power BI,86,197,48,6.75,0.558,2.014
Looker,Reporting,39,299,33,4.64,0.846,2.012
Statistics + Tableau,Data Analysis,52,320,47,6.61,0.904,2.008
Data Pipeline + Python,Big Data,79,130,29,4.08,0.367,2.008
AWS + Azure,ETL,72,133,27,3.8,0.375,2.005
Business Intelligence + Power BI,Reporting,38,299,32,4.5,0.842,2.002
AWS + Data Pipeline,Python,33,334,31,4.36,0.939,2.0
Power BI + Reporting,Excel,140,128,50,7.03,0.357,1.984
Data Analysis + Power BI,Excel,140,128,50,7.03,0.357,1.984
Data Analysis + Looker,Reporting,30,299,25,3.52,0.833,1.982
Data Modeling + SQL,Power BI,71,197,39,5.49,0.549,1.982
Big Data + Reporting,Statistics,67,134,25,3.52,0.373,1.98
LLM + SQL,Python,42,334,39,5.49,0.929,1.977
Data Visualization + Statistics,Reporting,47,299,39,5.49,0.83,1.973
ETL + Reporting,Power BI,75,197,41,5.77,0.547,1.973
Data Analysis + Data Quality,Power BI,55,197,30,4.22,0.545,1.969
Data Pipeline + Machine Learning,Python,38,334,35,4.92,0.921,1.961
CI/CD,ETL,71,133,26,3.66,0.366,1.958
Excel + Statistics,Data Analysis,33,320,29,4.08,0.879,1.953
Big Data + Data Analysis,Power BI,61,197,33,4.64,0.541,1.952
GCP + SQL,Python,48,334,44,6.19,0.917,1.951
ETL + Power BI,Reporting,50,299,41,5.77,0.82,1.95
Python + Tableau,Data Analysis,65,320,57,8.02,0.877,1.948
GCP + Python,AI,67,158,29,4.08,0.433,1.948
AWS + GCP,AI,74,158,32,4.5,0.432,1.946
Power BI + Python,ETL,102,133,37,5.2,0.363,1.939
Data Quality + Power BI,Reporting,43,299,35,4.92,0.814,1.936
Oracle + Power BI,Reporting,32,299,26,3.66,0.812,1.932
Git + LLM,Python,32,334,29,4.08,0.906,1.929
Azure + GCP,AI,63,158,27,3.8,0.429,1.929
Azure,ETL,97,133,35,4.92,0.361,1.929
Data Visualization + Python,Data Analysis,53,320,46,6.47,0.868,1.928
Data Lake + Python,SQL,35,369,35,4.92,1.0,1.927
Python + Reporting,Big Data,125,130,44,6.19,0.352,1.925
Data Pipeline + ELT,Python,31,334,28,3.94,0.903,1.923
Python + SQL,ETL,220,133,79,11.11,0.359,1.92
Data Visualization + Tableau,Data Analysis,44,320,38,5.34,0.864,1.919
Data Analysis + Data Pipeline,Python,30,334,27,3.8,0.9,1.916
Azure + Python,Machine Learning,64,232,40,5.63,0.625,1.915
Business Intelligence + Data Analysis,Reporting,41,299,33,4.64,0.805,1.914
Azure + LLM,Python,29,334,26,3.66,0.897,1.909
Data Visualization + Machine Learning,Python,29,334,26,3.66,0.897,1.909
Data Analysis + Reporting,Statistics,178,134,64,9.0,0.36,1.908
Docker + Machine Learning,Python,48,334,43,6.05,0.896,1.907
Data Visualization + Reporting,Data Analysis,63,320,54,7.59,0.857,1.904
Machine Learning + NLP,Python,47,334,42,5.91,0.894,1.902
Data Pipeline + English,Python,47,334,42,5.91,0.894,1.902
Data Warehouse + Power BI,Reporting,60,299,48,6.75,0.8,1.902
Machine Learning + Power BI,Reporting,40,299,32,4.5,0.8,1.902
Big Data + Power BI,Reporting,40,299,32,4.5,0.8,1.902
Power BI + Statistics,Data Analysis,75,320,64,9.0,0.853,1.896
GCP + Machine Learning,Python,45,334,40,5.63,0.889,1.892
Excel,Power BI,128,197,67,9.42,0.523,1.889
ELT + Python,SQL,49,369,48,6.75,0.98,1.888
BigQuery,Python,35,334,31,4.36,0.886,1.885
Java + SQL,Python,35,334,31,4.36,0.886,1.885
Oracle + Python,SQL,40,369,39,5.49,0.975,1.879
LLM + Machine Learning,Python,85,334,75,10.55,0.882,1.878
Reporting + SQL,Data Warehouse,188,147,73,10.27,0.388,1.878
Excel + Statistics,Reporting,33,299,26,3.66,0.788,1.874
AI + GCP,Python,33,334,29,4.08,0.879,1.871
Deep Learning + LLM,Python,33,334,29,4.08,0.879,1.871
Data Pipeline + SQL,Python,74,334,65,9.14,0.878,1.87
Docker + LLM,Python,41,334,36,5.06,0.878,1.869
Big Data + English,Machine Learning,46,232,28,3.94,0.609,1.865
ETL + Tableau,SQL,30,369,29,4.08,0.967,1.863
Data Analysis + Data Pipeline,SQL,30,369,29,4.08,0.967,1.863
AWS + Airflow,Python,32,334,28,3.94,0.875,1.863
BigQuery + SQL,Python,32,334,28,3.94,0.875,1.863
Reporting + SQL,Statistics,188,134,66,9.28,0.351,1.863
Big Data + Statistics,Data Analysis,37,320,31,4.36,0.838,1.862
Docker,Machine Learning,79,232,48,6.75,0.608,1.862
Big Data + Python,Machine Learning,84,232,51,7.17,0.607,1.861
AWS + English,Machine Learning,56,232,34,4.78,0.607,1.861
Looker + Tableau,SQL,29,369,28,3.94,0.966,1.86
Python + dbt,SQL,29,369,28,3.94,0.966,1.86
Data Analysis + SQL Server,Reporting,32,299,25,3.52,0.781,1.858
Machine Learning + Tableau,Reporting,32,299,25,3.52,0.781,1.858
Data Warehouse + SQL Server,Reporting,32,299,25,3.52,0.781,1.858
Git + Machine Learning,Python,39,334,34,4.78,0.872,1.856
Data Pipeline + Reporting,Python,39,334,34,4.78,0.872,1.856
Data Pipeline + Spark,Python,31,334,27,3.8,0.871,1.854
Machine Learning + NoSQL,SQL,26,369,25,3.52,0.962,1.853
Power BI + Python,Data Warehouse,102,147,39,5.49,0.382,1.849
JavaScript,Python,30,334,26,3.66,0.867,1.845
NLP,Python,52,334,45,6.33,0.865,1.842
Java,Python,52,334,45,6.33,0.865,1.842
Data Warehouse + Oracle,SQL,45,369,43,6.05,0.956,1.841
Docker + Git,Python,37,334,32,4.5,0.865,1.841
Data Analysis + Tableau,Reporting,84,299,65,9.14,0.774,1.84
Oracle + Reporting,Power BI,51,197,26,3.66,0.51,1.84
Data Visualization + Tableau,SQL,44,369,42,5.91,0.955,1.839
Java + Python,Machine Learning,45,232,27,3.8,0.6,1.839
AI + Deep Learning,Python,44,334,38,5.34,0.864,1.838
Data Visualization + SQL,Reporting,66,299,51,7.17,0.773,1.837
Power BI + Tableau,Reporting,101,299,78,10.97,0.772,1.836
Data Visualization,Data Analysis,86,320,71,9.99,0.826,1.834
Data Modeling + Power BI,SQL,41,369,39,5.49,0.951,1.833
LLM + NLP,Python,36,334,31,4.36,0.861,1.833
Big Data + Power BI,Data Analysis,40,320,33,4.64,0.825,1.833
GCP + Python,Machine Learning,67,232,40,5.63,0.597,1.83
Statistics + Tableau,Reporting,52,299,40,5.63,0.769,1.829
Data Visualization + Power BI,Data Analysis,62,320,51,7.17,0.823,1.828
Computer Vision,Python,49,334,42,5.91,0.857,1.825
Python + SQL Server,SQL,37,369,35,4.92,0.946,1.823
SQL + Statistics,Data Analysis,100,320,82,11.53,0.82,1.822
AWS + CI/CD,English,41,276,29,4.08,0.707,1.822
Data Pipeline + ETL,Python,48,334,41,5.77,0.854,1.818
Data Warehouse + Tableau,SQL,35,369,33,4.64,0.943,1.817
Power BI + SQL,Reporting,156,299,119,16.74,0.763,1.814
Agile,English,71,276,50,7.03,0.704,1.814
Power BI + Python,SQL,102,369,96,13.5,0.941,1.813
AWS + Azure,AI,72,158,29,4.08,0.403,1.813
ETL + Power BI,SQL,50,369,47,6.61,0.94,1.811
Data Modeling + Python,SQL,50,369,47,6.61,0.94,1.811
Tableau,Reporting,109,299,83,11.67,0.761,1.811
Machine Learning + Power BI,Python,40,334,34,4.78,0.85,1.809
Data Analysis + Data Visualization,Reporting,71,299,54,7.59,0.761,1.809
Big Data + Data Analysis,Machine Learning,61,232,36,5.06,0.59,1.809
Python + Tableau,SQL,65,369,61,8.58,0.938,1.808
Data Pipeline,Python,93,334,79,11.11,0.849,1.808
Power BI + Statistics,Reporting,75,299,57,8.02,0.76,1.807
Oracle + Power BI,SQL,32,369,30,4.22,0.938,1.806
English + Python,AI,142,158,57,8.02,0.401,1.806
GCP,Data Warehouse,83,147,31,4.36,0.373,1.806
Looker + SQL,Data Analysis,32,320,26,3.66,0.812,1.805
Excel + Tableau,Data Analysis,32,320,26,3.66,0.812,1.805
SQL + SQL Server,Power BI,52,197,26,3.66,0.5,1.805
Data Modeling + Python,Power BI,50,197,25,3.52,0.5,1.805
Power BI + Tableau,Data Analysis,101,320,82,11.53,0.812,1.804
Data Pipeline + Data Warehouse,Python,39,334,33,4.64,0.846,1.801
Reporting + Statistics,Data Analysis,79,320,64,9.0,0.81,1.8
Azure + GCP,Machine Learning,63,232,37,5.2,0.587,1.8
Airflow + Data Quality,SQL,30,369,28,3.94,0.933,1.798
ETL + PostgreSQL,SQL,30,369,28,3.94,0.933,1.798
AI + SQL,Python,58,334,49,6.89,0.845,1.798
Computer Vision + Machine Learning,Python,45,334,38,5.34,0.844,1.798
ETL + GCP,Python,32,334,27,3.8,0.844,1.796
Airflow + ELT,SQL,29,369,27,3.8,0.931,1.794
Deep Learning,Python,70,334,59,8.3,0.843,1.794
Machine Learning + SQL,Python,114,334,96,13.5,0.842,1.793
Excel + SQL,Reporting,69,299,52,7.31,0.754,1.792
Looker + Power BI,Data Analysis,36,320,29,4.08,0.806,1.79
Excel + Python,Data Analysis,36,320,29,4.08,0.806,1.79
AWS + Python,AI,88,158,35,4.92,0.398,1.79
GCP,AI,83,158,33,4.64,0.398,1.789
AWS + SQL,Python,75,334,63,8.86,0.84,1.788
SQL + Tableau,Data Analysis,92,320,74,10.41,0.804,1.787
ETL + SQL Server,SQL,41,369,38,5.34,0.927,1.786
Data Visualization + SQL,Data Analysis,66,320,53,7.45,0.803,1.784
Data Analysis + Power BI,Reporting,140,299,105,14.77,0.75,1.783
SQL + Tableau,Reporting,92,299,69,9.7,0.75,1.783
Data Visualization + Tableau,Reporting,44,299,33,4.64,0.75,1.783
Business Intelligence + SQL,Reporting,40,299,30,4.22,0.75,1.783
Data Analysis + Data Modeling,Reporting,36,299,27,3.8,0.75,1.783
Big Data + Power BI,SQL,40,369,37,5.2,0.925,1.782
Docker + Kubernetes,Machine Learning,43,232,25,3.52,0.581,1.782
AWS + GCP,Machine Learning,74,232,43,6.05,0.581,1.781
Statistics + Tableau,SQL,52,369,48,6.75,0.923,1.779
Data Pipeline + Reporting,SQL,39,369,36,5.06,0.923,1.779
Data Quality + Reporting,Power BI,71,197,35,4.92,0.493,1.779
Machine Learning + Power BI,Data Analysis,40,320,32,4.5,0.8,1.778
dbt,SQL,38,369,35,4.92,0.921,1.775
Excel + Power BI,Reporting,67,299,50,7.03,0.746,1.775
CI/CD,AI,71,158,28,3.94,0.394,1.775
Docker + SQL,Python,36,334,30,4.22,0.833,1.774
Statistics,Data Analysis,134,320,107,15.05,0.799,1.774
Data Modeling + Data Warehouse,Power BI,55,197,27,3.8,0.491,1.772
ETL + Oracle,SQL,37,369,34,4.78,0.919,1.771
PostgreSQL,Data Warehouse,71,147,26,3.66,0.366,1.771
ETL + Python,SQL,86,369,79,11.11,0.919,1.77
Data Warehouse + Python,SQL,86,369,79,11.11,0.919,1.77
Deep Learning + Machine Learning,Python,65,334,54,7.59,0.831,1.768
Python + Statistics,Machine Learning,85,232,49,6.89,0.576,1.767
Data Warehouse + Power BI,SQL,60,369,55,7.74,0.917,1.766
Big Data + Oracle,SQL,36,369,33,4.64,0.917,1.766
Data Quality + ELT,SQL,36,369,33,4.64,0.917,1.766
AWS + GCP,Data Warehouse,74,147,27,3.8,0.365,1.765
Data Modeling + Data Pipeline,Python,35,334,29,4.08,0.829,1.764
Power BI + Python,Data Analysis,102,320,81,11.39,0.794,1.764
Data Visualization + Power BI,Reporting,62,299,46,6.47,0.742,1.764
Big Data + Data Quality,SQL,47,369,43,6.05,0.915,1.763
CI/CD + Docker,English,38,276,26,3.66,0.684,1.763
BigQuery,SQL,35,369,32,4.5,0.914,1.762
Airflow + Data Warehouse,SQL,35,369,32,4.5,0.914,1.762
Data Analysis + Oracle,SQL,34,369,31,4.36,0.912,1.757
ELT,SQL,67,369,61,8.58,0.91,1.754
ELT + ETL,SQL,66,369,60,8.44,0.909,1.752
Data Quality + Spark,SQL,33,369,30,4.22,0.909,1.752
Big Data + ELT,SQL,33,369,30,4.22,0.909,1.752
Python + Statistics,Data Analysis,85,320,67,9.42,0.788,1.751
Data Visualization + Python,Reporting,53,299,39,5.49,0.736,1.75
Reporting + Tableau,Data Warehouse,83,147,30,4.22,0.361,1.748
Data Pipeline + Data Quality,Python,39,334,32,4.5,0.821,1.747
English + Git,Python,39,334,32,4.5,0.821,1.747
Data Warehouse + SQL Server,SQL,32,369,29,4.08,0.906,1.746
Data Visualization + Python,SQL,53,369,48,6.75,0.906,1.745
Data Modeling + Reporting,SQL,53,369,48,6.75,0.906,1.745
AWS + Azure,Machine Learning,72,232,41,5.77,0.569,1.745
English + LLM,Python,55,334,45,6.33,0.818,1.742
Data Visualization + Tableau,Python,44,334,36,5.06,0.818,1.742
Data Visualization,Reporting,86,299,63,8.86,0.733,1.742
Data Modeling,Power BI,85,197,41,5.77,0.482,1.741
Big Data + Tableau,SQL,31,369,28,3.94,0.903,1.74
BigQuery + Python,SQL,31,369,28,3.94,0.903,1.74
Data Pipeline + ELT,SQL,31,369,28,3.94,0.903,1.74
English + Machine Learning,Python,93,334,76,10.69,0.817,1.74
Reporting + Tableau,Data Analysis,83,320,65,9.14,0.783,1.74
Agile + SQL,English,40,276,27,3.8,0.675,1.739
Azure + Machine Learning,Python,49,334,40,5.63,0.816,1.738
AI + Git,Python,38,334,31,4.36,0.816,1.737
AWS + LLM,Python,38,334,31,4.36,0.816,1.737
AI + NLP,Python,38,334,31,4.36,0.816,1.737
Python + SQL,Data Warehouse,220,147,79,11.11,0.359,1.737
SQL + Tableau,Data Warehouse,92,147,33,4.64,0.359,1.735
Machine Learning + Power BI,SQL,40,369,36,5.06,0.9,1.734
Business Intelligence,Reporting,59,299,43,6.05,0.729,1.733
Data Pipeline + Data Warehouse,SQL,39,369,35,4.92,0.897,1.729
Data Pipeline + Data Quality,SQL,39,369,35,4.92,0.897,1.729
Power BI + SQL Server,SQL,29,369,26,3.66,0.897,1.728
Data Warehouse + Statistics,SQL,29,369,26,3.66,0.897,1.728
English + NoSQL,SQL,29,369,26,3.66,0.897,1.728
AI + LLM,Python,90,334,73,10.27,0.811,1.727
AWS + GCP,Python,74,334,60,8.44,0.811,1.726
Docker,Python,79,334,64,9.0,0.81,1.725
Power BI + Python,Reporting,102,299,74,10.41,0.725,1.725
Data Warehouse + ELT,SQL,57,369,51,7.17,0.895,1.724
Big Data + Reporting,Power BI,67,197,32,4.5,0.478,1.724
SQL + Spark,Python,63,334,51,7.17,0.81,1.723
Data Visualization + Statistics,SQL,47,369,42,5.91,0.894,1.722
Data Analysis + Python,SQL,131,369,117,16.46,0.893,1.721
Data Quality + Statistics,SQL,28,369,25,3.52,0.893,1.72
Big Data + SQL Server,SQL,28,369,25,3.52,0.893,1.72
Machine Learning + Statistics,Data Analysis,62,320,48,6.75,0.774,1.72
GCP,Python,83,334,67,9.42,0.807,1.718
Excel + Python,Reporting,36,299,26,3.66,0.722,1.717
Oracle + SQL Server,Reporting,36,299,26,3.66,0.722,1.717
AI + Azure,Python,36,334,29,4.08,0.806,1.715
English + Statistics,Python,36,334,29,4.08,0.806,1.715
Data Quality + ELT,Python,36,334,29,4.08,0.806,1.715
English + GCP,Python,36,334,29,4.08,0.806,1.715
Big Data + Data Pipeline,Python,36,334,29,4.08,0.806,1.715
LLM,Python,118,334,95,13.36,0.805,1.714
Git,Python,77,334,62,8.72,0.805,1.714
Looker + Power BI,SQL,36,369,32,4.5,0.889,1.713
Excel + Python,SQL,36,369,32,4.5,0.889,1.713
Data Analysis + Data Modeling,SQL,36,369,32,4.5,0.889,1.713
Data Governance + Python,SQL,36,369,32,4.5,0.889,1.713
Docker + English,Python,41,334,33,4.64,0.805,1.713
Git + SQL,Python,46,334,37,5.2,0.804,1.712
Tableau,Data Analysis,109,320,84,11.81,0.771,1.712
Data Analysis + Data Warehouse,SQL,71,369,63,8.86,0.887,1.71
Looker,Data Analysis,39,320,30,4.22,0.769,1.709
Data Modeling + Data Pipeline,SQL,35,369,31,4.36,0.886,1.707
Business Intelligence + Reporting,Data Analysis,43,320,33,4.64,0.767,1.705
Power BI + SQL,Data Warehouse,156,147,55,7.74,0.353,1.705
AWS + Python,Data Warehouse,88,147,31,4.36,0.352,1.704
Machine Learning + Spark,Python,35,334,28,3.94,0.8,1.703
SQL + dbt,Python,35,334,28,3.94,0.8,1.703
NoSQL + SQL,Machine Learning,45,232,25,3.52,0.556,1.703
Azure + English,Machine Learning,45,232,25,3.52,0.556,1.703
CI/CD + Python,English,47,276,31,4.36,0.66,1.699
Machine Learning + Reporting,Data Warehouse,74,147,26,3.66,0.351,1.699
Data Analysis + Tableau,SQL,84,369,74,10.41,0.881,1.697
Reporting + SQL Server,SQL,42,369,37,5.2,0.881,1.697
Machine Learning + SQL,AI,114,158,43,6.05,0.377,1.697
AI + Machine Learning,Python,113,334,90,12.66,0.796,1.695
Data Pipeline + Machine Learning,English,38,276,25,3.52,0.658,1.695
Data Quality + Data Warehouse,SQL,58,369,51,7.17,0.879,1.694
Excel + Statistics,SQL,33,369,29,4.08,0.879,1.693
AWS + Spark,Python,44,334,35,4.92,0.795,1.693
AI + AWS,Python,44,334,35,4.92,0.795,1.693
SQL + SQL Server,Reporting,52,299,37,5.2,0.712,1.692
AI + Computer Vision,Python,34,334,27,3.8,0.794,1.69
Power BI,Reporting,197,299,140,19.69,0.711,1.69
Reporting,Power BI,299,197,140,19.69,0.468,1.69
Azure + GCP,Python,63,334,50,7.03,0.794,1.689
Data Modeling + ETL,SQL,48,369,42,5.91,0.875,1.686
Data Pipeline + ETL,SQL,48,369,42,5.91,0.875,1.686
Data Modeling + Data Warehouse,Reporting,55,299,39,5.49,0.709,1.686
AI + Docker,Python,48,334,38,5.34,0.792,1.685
Data Quality + Python,SQL,71,369,62,8.72,0.873,1.683
Docker + Kubernetes,Python,43,334,34,4.78,0.791,1.683
Looker + Reporting,Data Analysis,33,320,25,3.52,0.758,1.683
